event_timestamp,flower_id,sepal_length,sepal_width,petal_length,petal_width,species
2025-06-20 08:52:52.795099,149,5.9,3.0,5.1,1.8,virginica
2025-06-20 08:53:52.795099,148,6.2,3.4,5.4,2.3,virginica
2025-06-20 08:54:52.795099,147,6.5,3.0,5.2,2.0,virginica
2025-06-20 08:55:52.795099,146,6.3,2.5,5.0,1.9,virginica
2025-06-20 08:56:52.795099,145,6.7,3.0,5.2,2.3,virginica
2025-06-20 08:57:52.795099,144,6.7,3.3,5.7,2.5,virginica
2025-06-20 08:58:52.795099,143,6.8,3.2,5.9,2.3,virginica
2025-06-20 08:59:52.795099,142,5.8,2.7,5.1,1.9,virginica
2025-06-20 09:00:52.795099,141,6.9,3.1,5.1,2.3,virginica
2025-06-20 09:01:52.795099,140,6.7,3.1,5.6,2.4,virginica
2025-06-20 09:02:52.795099,139,6.9,3.1,5.4,2.1,virginica
2025-06-20 09:03:52.795099,138,6.0,3.0,4.8,1.8,virginica
2025-06-20 09:04:52.795099,137,6.4,3.1,5.5,1.8,virginica
2025-06-20 09:05:52.795099,136,6.3,3.4,5.6,2.4,virginica
2025-06-20 09:06:52.795099,135,7.7,3.0,6.1,2.3,virginica
2025-06-20 09:07:52.795099,134,6.1,2.6,5.6,1.4,virginica
2025-06-20 09:08:52.795099,133,6.3,2.8,5.1,1.5,virginica
2025-06-20 09:09:52.795099,132,6.4,2.8,5.6,2.2,virginica
2025-06-20 09:10:52.795099,131,7.9,3.8,6.4,2.0,virginica
2025-06-20 09:11:52.795099,130,7.4,2.8,6.1,1.9,virginica
2025-06-20 09:12:52.795099,129,7.2,3.0,5.8,1.6,virginica
2025-06-20 09:13:52.795099,128,6.4,2.8,5.6,2.1,virginica
2025-06-20 09:14:52.795099,127,6.1,3.0,4.9,1.8,virginica
2025-06-20 09:15:52.795099,126,6.2,2.8,4.8,1.8,virginica
2025-06-20 09:16:52.795099,125,7.2,3.2,6.0,1.8,virginica
2025-06-20 09:17:52.795099,124,6.7,3.3,5.7,2.1,virginica
2025-06-20 09:18:52.795099,123,6.3,2.7,4.9,1.8,virginica
2025-06-20 09:19:52.795099,122,7.7,2.8,6.7,2.0,virginica
2025-06-20 09:20:52.795099,121,5.6,2.8,4.9,2.0,virginica
2025-06-20 09:21:52.795099,120,6.9,3.2,5.7,2.3,virginica
2025-06-20 09:22:52.795099,119,6.0,2.2,5.0,1.5,virginica
2025-06-20 09:23:52.795099,118,7.7,2.6,6.9,2.3,virginica
2025-06-20 09:24:52.795099,117,7.7,3.8,6.7,2.2,virginica
2025-06-20 09:25:52.795099,116,6.5,3.0,5.5,1.8,virginica
2025-06-20 09:26:52.795099,115,6.4,3.2,5.3,2.3,virginica
2025-06-20 09:27:52.795099,114,5.8,2.8,5.1,2.4,virginica
2025-06-20 09:28:52.795099,113,5.7,2.5,5.0,2.0,virginica
2025-06-20 09:29:52.795099,112,6.8,3.0,5.5,2.1,virginica
2025-06-20 09:30:52.795099,111,6.4,2.7,5.3,1.9,virginica
2025-06-20 09:31:52.795099,110,6.5,3.2,5.1,2.0,virginica
2025-06-20 09:32:52.795099,109,7.2,3.6,6.1,2.5,virginica
2025-06-20 09:33:52.795099,108,6.7,2.5,5.8,1.8,virginica
2025-06-20 09:34:52.795099,107,7.3,2.9,6.3,1.8,virginica
2025-06-20 09:35:52.795099,106,4.9,2.5,4.5,1.7,virginica
2025-06-20 09:36:52.795099,105,7.6,3.0,6.6,2.1,virginica
2025-06-20 09:37:52.795099,104,6.5,3.0,5.8,2.2,virginica
2025-06-20 09:38:52.795099,103,6.3,2.9,5.6,1.8,virginica
2025-06-20 09:39:52.795099,102,7.1,3.0,5.9,2.1,virginica
2025-06-20 09:40:52.795099,101,5.8,2.7,5.1,1.9,virginica
2025-06-20 09:41:52.795099,100,6.3,3.3,6.0,2.5,virginica
2025-06-20 09:42:52.795099,99,5.7,2.8,4.1,1.3,versicolor
2025-06-20 09:43:52.795099,98,5.1,2.5,3.0,1.1,versicolor
2025-06-20 09:44:52.795099,97,6.2,2.9,4.3,1.3,versicolor
2025-06-20 09:45:52.795099,96,5.7,2.9,4.2,1.3,versicolor
2025-06-20 09:46:52.795099,95,5.7,3.0,4.2,1.2,versicolor
2025-06-20 09:47:52.795099,94,5.6,2.7,4.2,1.3,versicolor
2025-06-20 09:48:52.795099,93,5.0,2.3,3.3,1.0,versicolor
2025-06-20 09:49:52.795099,92,5.8,2.6,4.0,1.2,versicolor
2025-06-20 09:50:52.795099,91,6.1,3.0,4.6,1.4,versicolor
2025-06-20 09:51:52.795099,90,5.5,2.6,4.4,1.2,versicolor
2025-06-20 09:52:52.795099,89,5.5,2.5,4.0,1.3,versicolor
2025-06-20 09:53:52.795099,88,5.6,3.0,4.1,1.3,versicolor
2025-06-20 09:54:52.795099,87,6.3,2.3,4.4,1.3,versicolor
2025-06-20 09:55:52.795099,86,6.7,3.1,4.7,1.5,versicolor
2025-06-20 09:56:52.795099,85,6.0,3.4,4.5,1.6,versicolor
2025-06-20 09:57:52.795099,84,5.4,3.0,4.5,1.5,versicolor
2025-06-20 09:58:52.795099,83,6.0,2.7,5.1,1.6,versicolor
2025-06-20 09:59:52.795099,82,5.8,2.7,3.9,1.2,versicolor
2025-06-20 10:00:52.795099,81,5.5,2.4,3.7,1.0,versicolor
2025-06-20 10:01:52.795099,80,5.5,2.4,3.8,1.1,versicolor
2025-06-20 10:02:52.795099,79,5.7,2.6,3.5,1.0,versicolor
2025-06-20 10:03:52.795099,78,6.0,2.9,4.5,1.5,versicolor
2025-06-20 10:04:52.795099,77,6.7,3.0,5.0,1.7,versicolor
2025-06-20 10:05:52.795099,76,6.8,2.8,4.8,1.4,versicolor
2025-06-20 10:06:52.795099,75,6.6,3.0,4.4,1.4,versicolor
2025-06-20 10:07:52.795099,74,6.4,2.9,4.3,1.3,versicolor
2025-06-20 10:08:52.795099,73,6.1,2.8,4.7,1.2,versicolor
2025-06-20 10:09:52.795099,72,6.3,2.5,4.9,1.5,versicolor
2025-06-20 10:10:52.795099,71,6.1,2.8,4.0,1.3,versicolor
2025-06-20 10:11:52.795099,70,5.9,3.2,4.8,1.8,versicolor
2025-06-20 10:12:52.795099,69,5.6,2.5,3.9,1.1,versicolor
2025-06-20 10:13:52.795099,68,6.2,2.2,4.5,1.5,versicolor
2025-06-20 10:14:52.795099,67,5.8,2.7,4.1,1.0,versicolor
2025-06-20 10:15:52.795099,66,5.6,3.0,4.5,1.5,versicolor
2025-06-20 10:16:52.795099,65,6.7,3.1,4.4,1.4,versicolor
2025-06-20 10:17:52.795099,64,5.6,2.9,3.6,1.3,versicolor
2025-06-20 10:18:52.795099,63,6.1,2.9,4.7,1.4,versicolor
2025-06-20 10:19:52.795099,62,6.0,2.2,4.0,1.0,versicolor
2025-06-20 10:20:52.795099,61,5.9,3.0,4.2,1.5,versicolor
2025-06-20 10:21:52.795099,60,5.0,2.0,3.5,1.0,versicolor
2025-06-20 10:22:52.795099,59,5.2,2.7,3.9,1.4,versicolor
2025-06-20 10:23:52.795099,58,6.6,2.9,4.6,1.3,versicolor
2025-06-20 10:24:52.795099,57,4.9,2.4,3.3,1.0,versicolor
2025-06-20 10:25:52.795099,56,6.3,3.3,4.7,1.6,versicolor
2025-06-20 10:26:52.795099,55,5.7,2.8,4.5,1.3,versicolor
2025-06-20 10:27:52.795099,54,6.5,2.8,4.6,1.5,versicolor
2025-06-20 10:28:52.795099,53,5.5,2.3,4.0,1.3,versicolor
2025-06-20 10:29:52.795099,52,6.9,3.1,4.9,1.5,versicolor
2025-06-20 10:30:52.795099,51,6.4,3.2,4.5,1.5,versicolor
2025-06-20 10:31:52.795099,50,7.0,3.2,4.7,1.4,versicolor
2025-06-20 10:32:52.795099,49,5.0,3.3,1.4,0.2,setosa
2025-06-20 10:33:52.795099,48,5.3,3.7,1.5,0.2,setosa
2025-06-20 10:34:52.795099,47,4.6,3.2,1.4,0.2,setosa
2025-06-20 10:35:52.795099,46,5.1,3.8,1.6,0.2,setosa
2025-06-20 10:36:52.795099,45,4.8,3.0,1.4,0.3,setosa
2025-06-20 10:37:52.795099,44,5.1,3.8,1.9,0.4,setosa
2025-06-20 10:38:52.795099,43,5.0,3.5,1.6,0.6,setosa
2025-06-20 10:39:52.795099,42,4.4,3.2,1.3,0.2,setosa
2025-06-20 10:40:52.795099,41,4.5,2.3,1.3,0.3,setosa
2025-06-20 10:41:52.795099,40,5.0,3.5,1.3,0.3,setosa
2025-06-20 10:42:52.795099,39,5.1,3.4,1.5,0.2,setosa
2025-06-20 10:43:52.795099,38,4.4,3.0,1.3,0.2,setosa
2025-06-20 10:44:52.795099,37,4.9,3.1,1.5,0.1,setosa
2025-06-20 10:45:52.795099,36,5.5,3.5,1.3,0.2,setosa
2025-06-20 10:46:52.795099,35,5.0,3.2,1.2,0.2,setosa
2025-06-20 10:47:52.795099,34,4.9,3.1,1.5,0.1,setosa
2025-06-20 10:48:52.795099,33,5.5,4.2,1.4,0.2,setosa
2025-06-20 10:49:52.795099,32,5.2,4.1,1.5,0.1,setosa
2025-06-20 10:50:52.795099,31,5.4,3.4,1.5,0.4,setosa
2025-06-20 10:51:52.795099,30,4.8,3.1,1.6,0.2,setosa
2025-06-20 10:52:52.795099,29,4.7,3.2,1.6,0.2,setosa
2025-06-20 10:53:52.795099,28,5.2,3.4,1.4,0.2,setosa
2025-06-20 10:54:52.795099,27,5.2,3.5,1.5,0.2,setosa
2025-06-20 10:55:52.795099,26,5.0,3.4,1.6,0.4,setosa
2025-06-20 10:56:52.795099,25,5.0,3.0,1.6,0.2,setosa
2025-06-20 10:57:52.795099,24,4.8,3.4,1.9,0.2,setosa
2025-06-20 10:58:52.795099,23,5.1,3.3,1.7,0.5,setosa
2025-06-20 10:59:52.795099,22,4.6,3.6,1.0,0.2,setosa
2025-06-20 11:00:52.795099,21,5.1,3.7,1.5,0.4,setosa
2025-06-20 11:01:52.795099,20,5.4,3.4,1.7,0.2,setosa
2025-06-20 11:02:52.795099,19,5.1,3.8,1.5,0.3,setosa
2025-06-20 11:03:52.795099,18,5.7,3.8,1.7,0.3,setosa
2025-06-20 11:04:52.795099,17,5.1,3.5,1.4,0.3,setosa
2025-06-20 11:05:52.795099,16,5.4,3.9,1.3,0.4,setosa
2025-06-20 11:06:52.795099,15,5.7,4.4,1.5,0.4,setosa
2025-06-20 11:07:52.795099,14,5.8,4.0,1.2,0.2,setosa
2025-06-20 11:08:52.795099,13,4.3,3.0,1.1,0.1,setosa
2025-06-20 11:09:52.795099,12,4.8,3.0,1.4,0.1,setosa
2025-06-20 11:10:52.795099,11,4.8,3.4,1.6,0.2,setosa
2025-06-20 11:11:52.795099,10,5.4,3.7,1.5,0.2,setosa
2025-06-20 11:12:52.795099,9,4.9,3.1,1.5,0.1,setosa
2025-06-20 11:13:52.795099,8,4.4,2.9,1.4,0.2,setosa
2025-06-20 11:14:52.795099,7,5.0,3.4,1.5,0.2,setosa
2025-06-20 11:15:52.795099,6,4.6,3.4,1.4,0.3,setosa
2025-06-20 11:16:52.795099,5,5.4,3.9,1.7,0.4,setosa
2025-06-20 11:17:52.795099,4,5.0,3.6,1.4,0.2,setosa
2025-06-20 11:18:52.795099,3,4.6,3.1,1.5,0.2,setosa
2025-06-20 11:19:52.795099,2,4.7,3.2,1.3,0.2,setosa
2025-06-20 11:20:52.795099,1,4.9,3.0,1.4,0.2,setosa
2025-06-20 11:21:52.795099,0,5.1,3.5,1.4,0.2,setosa
